ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2010-06-07 00:00:00+00:00,35,1,102338,1217.3,1245.3,1211.8,1240.1,848,GC.c.1
2010-06-07 00:00:00+00:00,35,1,116332,1224.2,1250.4,1223.4,1250.1,151,GC.c.6
2010-06-07 00:00:00+00:00,35,1,197009,1215.1,1244.7,1211.0,1241.6,860,GC.c.0
2010-06-07 00:00:00+00:00,35,1,104313,1218.8,1246.7,1212.1,1241.2,136784,GC.c.2
2010-06-08 00:00:00+00:00,35,1,102338,1239.1,1253.0,1234.3,1236.5,710,GC.c.1
2010-06-08 00:00:00+00:00,35,1,116332,1250.4,1257.1,1247.9,1247.9,86,GC.c.6
2010-06-08 00:00:00+00:00,35,1,197009,1238.7,1252.1,1234.1,1237.0,761,GC.c.0
2010-06-08 00:00:00+00:00,35,1,169060,1279.8,1280.1,1276.3,1280.1,334,GC.c.12
2010-06-08 00:00:00+00:00,35,1,104313,1241.2,1254.5,1235.0,1238.7,129321,GC.c.2
2010-06-09 00:00:00+00:00,35,1,102338,1239.6,1241.1,1222.6,1233.5,1391,GC.c.1
2010-06-09 00:00:00+00:00,35,1,116332,1250.0,1250.0,1242.4,1242.4,11,GC.c.6
2010-06-09 00:00:00+00:00,35,1,197009,1238.2,1238.2,1222.0,1231.6,419,GC.c.0
2010-06-09 00:00:00+00:00,35,1,169060,1269.1,1274.7,1269.1,1274.7,175,GC.c.12
2010-06-09 00:00:00+00:00,35,1,104313,1238.7,1242.6,1223.1,1232.8,115847,GC.c.2
2010-06-10 00:00:00+00:00,35,1,102338,1231.3,1234.3,1216.1,1219.2,577,GC.c.1
2010-06-10 00:00:00+00:00,35,1,116332,1234.3,1235.1,1226.9,1235.1,39,GC.c.6
2010-06-10 00:00:00+00:00,35,1,197009,1230.8,1230.8,1215.1,1217.1,478,GC.c.0
2010-06-10 00:00:00+00:00,35,1,104313,1233.0,1236.0,1216.2,1220.5,109714,GC.c.2
2010-06-11 00:00:00+00:00,35,1,102338,1220.7,1230.6,1219.4,1228.2,331,GC.c.1
2010-06-11 00:00:00+00:00,35,1,116332,1229.1,1240.7,1229.1,1238.2,404,GC.c.6
2010-06-11 00:00:00+00:00,35,1,197009,1219.5,1229.6,1218.0,1227.0,179,GC.c.0
2010-06-11 00:00:00+00:00,35,1,169060,1253.0,1253.0,1253.0,1253.0,79,GC.c.12
2010-06-11 00:00:00+00:00,35,1,104313,1220.6,1232.4,1218.2,1229.4,74073,GC.c.2
2010-06-13 00:00:00+00:00,35,1,102338,1231.7,1232.4,1230.0,1230.0,20,GC.c.1
2010-06-13 00:00:00+00:00,35,1,104313,1229.3,1233.6,1228.7,1233.5,1496,GC.c.2
2010-06-13 00:00:00+00:00,35,1,197009,1230.2,1230.2,1230.2,1230.2,1,GC.c.0
2010-06-14 00:00:00+00:00,35,1,102338,1231.9,1234.4,1217.6,1222.6,501,GC.c.1
2010-06-14 00:00:00+00:00,35,1,197009,1232.0,1232.7,1217.7,1222.3,229,GC.c.0
2010-06-14 00:00:00+00:00,35,1,143862,1254.1,1254.1,1254.1,1254.1,10,GC.c.12
2010-06-14 00:00:00+00:00,35,1,104313,1233.2,1235.9,1217.5,1222.7,88368,GC.c.2
2010-06-14 00:00:00+00:00,35,1,102263,1241.3,1241.3,1225.6,1229.2,532,GC.c.6
2010-06-15 00:00:00+00:00,35,1,102338,1221.8,1236.9,1220.6,1233.7,296,GC.c.1
2010-06-15 00:00:00+00:00,35,1,197009,1224.0,1236.0,1222.4,1233.5,242,GC.c.0
2010-06-15 00:00:00+00:00,35,1,104313,1222.7,1238.5,1221.1,1234.9,93606,GC.c.2
2010-06-15 00:00:00+00:00,35,1,102263,1231.5,1242.5,1230.5,1242.5,2568,GC.c.6
2010-06-16 00:00:00+00:00,35,1,102338,1233.9,1237.6,1227.5,1230.4,323,GC.c.1
2010-06-16 00:00:00+00:00,35,1,197009,1232.0,1237.6,1228.5,1230.4,297,GC.c.0
2010-06-16 00:00:00+00:00,35,1,104313,1234.9,1239.5,1228.3,1233.5,75038,GC.c.2
2010-06-16 00:00:00+00:00,35,1,102263,1244.2,1244.7,1235.7,1237.5,683,GC.c.6
2010-06-17 00:00:00+00:00,35,1,102338,1233.9,1251.3,1232.1,1245.2,1083,GC.c.1
2010-06-17 00:00:00+00:00,35,1,197009,1233.9,1251.1,1233.9,1247.2,266,GC.c.0
2010-06-17 00:00:00+00:00,35,1,104313,1233.5,1252.8,1232.2,1246.5,122615,GC.c.2
2010-06-17 00:00:00+00:00,35,1,102263,1241.5,1257.2,1240.2,1252.5,3582,GC.c.6
2010-06-18 00:00:00+00:00,35,1,102338,1247.9,1262.5,1242.3,1257.4,521,GC.c.1
2010-06-18 00:00:00+00:00,35,1,197009,1247.7,1261.5,1242.9,1256.1,130,GC.c.0
2010-06-18 00:00:00+00:00,35,1,104313,1246.5,1263.7,1243.1,1258.3,104133,GC.c.2
2010-06-18 00:00:00+00:00,35,1,102263,1252.8,1267.2,1252.8,1264.7,221,GC.c.6
2010-06-20 00:00:00+00:00,35,1,102338,1260.7,1260.9,1260.0,1260.5,10,GC.c.1
2010-06-20 00:00:00+00:00,35,1,104313,1261.2,1262.5,1259.1,1261.1,2820,GC.c.2
2010-06-20 00:00:00+00:00,35,1,102263,1267.0,1267.0,1267.0,1267.0,20,GC.c.6
2010-06-21 00:00:00+00:00,35,1,102338,1260.2,1265.7,1231.3,1238.0,691,GC.c.1
2010-06-21 00:00:00+00:00,35,1,197009,1257.4,1264.8,1232.0,1232.2,219,GC.c.0
2010-06-21 00:00:00+00:00,35,1,143862,1281.2,1281.2,1281.2,1281.2,1,GC.c.12
2010-06-21 00:00:00+00:00,35,1,104313,1261.1,1266.5,1231.6,1238.6,142927,GC.c.2
2010-06-21 00:00:00+00:00,35,1,102263,1267.7,1271.0,1239.0,1242.5,273,GC.c.6
2010-06-22 00:00:00+00:00,35,1,102338,1238.7,1243.0,1232.7,1240.5,320,GC.c.1
2010-06-22 00:00:00+00:00,35,1,197009,1239.5,1242.8,1232.1,1241.0,172,GC.c.0
2010-06-22 00:00:00+00:00,35,1,104313,1238.6,1244.0,1233.0,1242.1,105055,GC.c.2
2010-06-22 00:00:00+00:00,35,1,102263,1244.1,1248.4,1242.0,1246.9,73,GC.c.6
2010-06-23 00:00:00+00:00,35,1,102338,1240.2,1246.1,1225.1,1237.7,308,GC.c.1
2010-06-23 00:00:00+00:00,35,1,197009,1240.2,1245.1,1226.9,1237.3,100,GC.c.0
2010-06-23 00:00:00+00:00,35,1,104313,1241.9,1247.4,1225.2,1239.0,126697,GC.c.2
2010-06-23 00:00:00+00:00,35,1,102263,1248.2,1252.1,1232.4,1242.7,602,GC.c.6
2010-06-24 00:00:00+00:00,35,1,102338,1237.7,1248.6,1228.0,1243.0,222,GC.c.1
2010-06-24 00:00:00+00:00,35,1,197009,1236.4,1248.4,1230.7,1243.6,161,GC.c.0
2010-06-24 00:00:00+00:00,35,1,104313,1238.9,1249.5,1228.0,1245.2,115569,GC.c.2
